,State,County,lat,lon,# Droughts VWC (2 CAT/2wk)(Tuesdays),# Droughts VWC (2 CAT/4wk)(Tuesdays),# Droughts VWC (-2 Z-SCORE/2wk)(Tuesdays),# Droughts VWC (-2 Z-SCORE/4wk)(Tuesdays),Highest Month VWC (2 CAT/2wk)(Tuesdays),Highest Month VWC (2 CAT/4wk)(Tuesdays),Highest Month VWC (-2 Z-SCORE/2wk)(Tuesdays),Highest Month VWC (-2 Z-SCORE/4wk)(Tuesdays)
93,NJ,Somerset,40.565522,-74.61993,19,17,27,31,['April'],['March'],['April'],['July']
94,NJ,Sussex,41.137424,-74.691855,22,17,31,37,['April'],"['April', 'March']",['April'],['July']
95,NJ,Union,40.659871,-74.308696,26,16,42,26,['April'],['March'],['April'],['April']
96,NJ,Warren,40.853524,-75.009542,24,16,39,34,['April'],['April'],['April'],['April']
97,NY,Albany,42.588271,-73.974014,20,18,37,43,['April'],"['September', 'April']",['April'],['April']
98,NY,Allegany,42.247894,-78.026176,33,33,29,32,['April'],['May'],['May'],['June']
99,NY,Bronx ,40.848711,-73.852939,17,12,38,35,['April'],['March'],['May'],"['September', 'July']"
100,NY,Broome,42.161977,-75.830291,31,35,30,30,['April'],"['April', 'September']",['April'],['June']
101,NY,Cattaraugus,42.244853,-78.681006,29,31,28,34,['September'],"['April', 'September']",['May'],"['July', 'August']"
102,NY,Cayuga,43.008546,-76.574587,27,28,41,40,['April'],['April'],['April'],['April']
103,NY,Chautauqua,42.304216,-79.407595,33,32,35,35,['September'],['August'],['September'],['July']
104,NY,Chemung,42.155281,-76.747179,20,24,30,32,['April'],['September'],['May'],"['June', 'April']"
105,NY,Chenango,42.489732,-75.604905,32,35,38,37,"['April', 'September']",['September'],['April'],['June']
106,NY,Clinton,44.75271,-73.705648,25,21,54,40,['April'],['September'],['June'],['August']
107,NY,Columbia,42.247729,-73.626805,31,28,58,53,['April'],['April'],['July'],['June']
108,NY,Cortland,42.593824,-76.076265,32,35,36,36,['September'],['September'],"['April', 'May']",['April']
109,NY,Delaware,42.193987,-74.966728,26,32,32,33,['April'],['September'],['April'],['July']
110,NY,Dutchess,41.755009,-73.739951,25,22,42,35,['April'],['September'],['July'],['June']
111,NY,Erie,42.752759,-78.778192,29,29,29,33,['April'],['April'],['September'],['April']
