,State,County,lat,lon,# Droughts Precip (2 CAT/2wk)(4 wk intervals),# Droughts Precip (2 CAT/4wk)(4 wk intervals),# Droughts Precip (-2 Z-SCORE/2wk)(4 wk intervals),# Droughts Precip (-2 Z-SCORE/4wk)(4 wk intervals),Highest Month Precip (2 CAT/2wk)(4 wk intervals),Highest Month Precip (2 CAT/4wk)(4 wk intervals),Highest Month Precip (-2 Z-SCORE/2wk)(4 wk intervals),Highest Month Precip (-2 Z-SCORE/4wk)(4 wk intervals)
148,NY,Suffolk,40.943554,-72.692218,23,23,13,23,['July'],['July'],['July'],['June']
149,NY,Sullivan,41.720176,-74.76468,25,25,12,27,['September'],['September'],"['May', 'September']","['June', 'August']"
150,NY,Tioga,42.178057,-76.29745,26,26,10,19,['May'],['May'],['May'],"['April', 'May', 'September']"
151,NY,Tompkins,42.453281,-76.473712,28,28,10,26,"['May', 'September']","['May', 'September']","['April', 'August', 'May']",['September']
152,NY,Ulster,41.947232,-74.265447,22,22,12,21,['September'],['September'],['July'],['May']
153,NY,Warren,43.555105,-73.838139,31,31,12,31,['September'],['September'],"['September', 'May']",['May']
154,NY,Washington,43.312377,-73.439428,27,27,14,21,"['May', 'September']","['May', 'September']",['September'],"['June', 'May']"
155,NY,Wayne,43.145832,-77.017732,29,29,17,29,['September'],['September'],['August'],['April']
156,NY,Westchester,41.15277,-73.745912,22,22,13,25,['June'],['June'],"['June', 'August']",['June']
157,NY,Wyoming,42.701363,-78.228567,31,31,17,25,"['August', 'September']","['August', 'September']",['August'],"['August', 'September']"
158,NY,Yates,42.638237,-77.104324,28,28,9,24,['September'],['September'],['September'],['September']
159,PA,Adams,39.869471,-77.21773,24,24,14,25,"['July', 'September']","['July', 'September']",['May'],['May']
160,PA,Allegheny,40.46892,-79.98092,26,26,14,22,"['March', 'September']","['March', 'September']","['July', 'September']","['July', 'September']"
161,PA,Armstrong,40.812379,-79.464128,21,21,7,23,['August'],['August'],['May'],"['July', 'May']"
162,PA,Beaver,40.68414,-80.350721,24,24,14,23,['March'],['March'],['September'],['May']
163,PA,Bedford,39.997115,-78.48998,23,23,12,22,['March'],['March'],"['July', 'April', 'March', 'October', 'May']","['June', 'September']"
164,PA,Berks,40.413957,-75.92686,23,23,10,25,['August'],['August'],['August'],['April']
165,PA,Blair,40.497926,-78.31064,24,24,8,20,['September'],['September'],['June'],['May']
166,PA,Bradford,41.791495,-76.502124,23,23,13,18,"['May', 'September']","['May', 'September']",['May'],"['April', 'July', 'September']"
167,PA,Bucks,40.336887,-75.10706,23,23,10,27,"['July', 'September', 'June']","['July', 'September', 'June']","['April', 'August', 'September', 'May']","['June', 'August', 'July', 'May']"
168,PA,Butler,40.913834,-79.91896,24,24,13,22,['September'],['September'],['May'],"['September', 'May']"
169,PA,Cambria,40.494127,-78.715284,28,28,11,23,"['July', 'September']","['July', 'September']","['July', 'September', 'August']","['August', 'September', 'May', 'July']"
170,PA,Cameron,41.438289,-78.198315,25,25,14,25,"['May', 'September']","['May', 'September']",['March'],"['August', 'September', 'May']"
171,PA,Carbon,40.917833,-75.709428,16,16,10,23,['September'],['September'],['July'],"['June', 'May']"
172,PA,Centre,40.90916,-77.84783,26,26,11,27,['September'],['September'],"['July', 'September']","['June', 'September']"
173,PA,Chester,39.973965,-75.749732,19,19,11,22,"['July', 'April', 'June', 'September']","['July', 'April', 'June', 'September']","['July', 'April', 'March', 'September', 'August']","['June', 'April']"
174,PA,Clarion,41.198239,-79.420404,28,28,13,25,['August'],['August'],['May'],['May']
175,PA,Clearfield,41.000249,-78.473749,25,25,10,22,['September'],['September'],"['July', 'August', 'September', 'May']",['September']
176,PA,Clinton,41.245301,-77.649141,22,22,11,25,['September'],['September'],['May'],['May']
177,PA,Columbia,41.045517,-76.40426,23,23,11,26,['September'],['September'],['August'],"['April', 'July']"
178,PA,Crawford,41.68684,-80.107811,29,29,9,23,['September'],['September'],['August'],['July']
179,PA,Cumberland,40.164782,-77.26344,28,28,15,28,['September'],['September'],"['June', 'September']",['September']
180,PA,Dauphin,40.412565,-76.792634,23,23,11,25,['September'],['September'],"['September', 'March', 'May']",['June']
181,PA,Delaware,39.91667,-75.398786,20,20,8,19,['May'],['May'],"['July', 'March', 'May']","['June', 'May']"
182,PA,Elk,41.427334,-78.653938,35,35,10,24,['September'],['September'],['August'],['July']
183,PA,Erie,42.117952,-80.096386,23,23,19,29,['May'],['May'],"['September', 'March']","['August', 'September']"
184,PA,Fayette,39.914115,-79.644586,28,28,9,21,['August'],['August'],['August'],['September']
185,PA,Forest,41.513304,-79.249705,29,29,11,24,['September'],['September'],"['May', 'August']","['August', 'September']"
186,PA,Franklin,39.926686,-77.724485,17,17,8,16,['September'],['September'],['May'],"['March', 'August', 'May', 'June']"
187,PA,Fulton,39.910751,-78.122617,31,31,9,20,['September'],['September'],['March'],['September']
188,PA,Greene,39.848983,-80.225694,29,29,13,25,['July'],['July'],"['August', 'April']","['April', 'March']"
189,PA,Huntingdon,40.422321,-77.968584,23,23,14,26,"['August', 'March']","['August', 'March']",['June'],['June']
190,PA,Indiana,40.651432,-79.087545,26,26,12,26,"['July', 'September']","['July', 'September']",['August'],['July']
191,PA,Jefferson,41.130287,-78.999044,28,28,10,26,['August'],['August'],['September'],"['September', 'August']"
192,PA,Juniata,40.530673,-77.400438,23,23,11,24,['September'],['September'],"['August', 'September', 'May']","['July', 'June']"
193,PA,Lackawanna,41.44025,-75.609587,19,19,12,22,['September'],['September'],"['May', 'September']",['May']
194,PA,Lancaster,40.041992,-76.250198,24,24,14,31,['May'],['May'],['May'],"['April', 'June', 'May', 'September']"
195,PA,Lawrence,40.992735,-80.334446,29,29,12,27,['September'],['September'],"['September', 'May']","['March', 'August', 'September']"
196,PA,Lebanon,40.367344,-76.458009,20,20,14,27,['July'],['July'],['July'],"['May', 'July']"
197,PA,Lehigh,40.614241,-75.590627,17,17,8,25,"['August', 'March', 'September', 'May']","['August', 'March', 'September', 'May']",['May'],['May']
198,PA,Luzerne,41.172787,-75.976035,21,21,12,24,"['June', 'September']","['June', 'September']",['August'],"['June', 'March', 'April', 'July']"
199,PA,Lycoming,41.343624,-77.055253,23,23,14,27,['September'],['September'],"['September', 'June']",['May']
